task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds,variant,planned_actions_per_decision,maximum_executed_actions_per_decision
cube,150,150,15,prefix_b,released_raw,ap-fresh-cube-015,False,150,30,4500,1350000,26106351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.8705,LeWM (5-action replanning),25,5
cube,150,150,16,clean,released_raw,ap-fresh-cube-016,False,150,30,4500,1350000,26107351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",55.6841,LeWM (5-action replanning),25,5
cube,150,150,16,prefix_a,released_raw,ap-fresh-cube-016,False,150,30,4500,1350000,26107351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.0938,LeWM (5-action replanning),25,5
cube,150,150,16,prefix_b,released_raw,ap-fresh-cube-016,False,150,30,4500,1350000,26107351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.7564,LeWM (5-action replanning),25,5
cube,150,150,17,clean,released_raw,ap-fresh-cube-017,False,150,30,4500,1350000,26108351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",55.7694,LeWM (5-action replanning),25,5
cube,150,150,17,prefix_a,released_raw,ap-fresh-cube-017,False,150,30,4500,1350000,26108351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.5455,LeWM (5-action replanning),25,5
cube,150,150,17,prefix_b,released_raw,ap-fresh-cube-017,False,150,30,4500,1350000,26108351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.6509,LeWM (5-action replanning),25,5
cube,150,150,18,clean,released_raw,ap-fresh-cube-018,False,150,30,4500,1350000,26109351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",55.1038,LeWM (5-action replanning),25,5
cube,150,150,18,prefix_a,released_raw,ap-fresh-cube-018,False,150,30,4500,1350000,26109351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.2134,LeWM (5-action replanning),25,5
cube,150,150,18,prefix_b,released_raw,ap-fresh-cube-018,False,150,30,4500,1350000,26109351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.2614,LeWM (5-action replanning),25,5
cube,150,150,19,clean,released_raw,ap-fresh-cube-019,False,150,30,4500,1350000,26110351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",55.6116,LeWM (5-action replanning),25,5
cube,150,150,19,prefix_a,released_raw,ap-fresh-cube-019,False,150,30,4500,1350000,26110351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",56.1955,LeWM (5-action replanning),25,5
cube,150,150,19,prefix_b,released_raw,ap-fresh-cube-019,False,150,30,4500,1350000,26110351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",59.1672,LeWM (5-action replanning),25,5
cube,150,150,20,clean,released_raw,ap-fresh-cube-020,False,150,30,4500,1350000,26111351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",59.6157,LeWM (5-action replanning),25,5
cube,150,150,20,prefix_a,released_raw,ap-fresh-cube-020,False,150,30,4500,1350000,26111351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",57.1704,LeWM (5-action replanning),25,5
cube,150,150,20,prefix_b,released_raw,ap-fresh-cube-020,False,150,30,4500,1350000,26111351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",59.8862,LeWM (5-action replanning),25,5
cube,150,150,21,clean,released_raw,ap-fresh-cube-021,False,150,30,4500,1350000,26112351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",56.7857,LeWM (5-action replanning),25,5
cube,150,150,21,prefix_a,released_raw,ap-fresh-cube-021,False,150,30,4500,1350000,26112351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",57.1074,LeWM (5-action replanning),25,5
cube,150,150,21,prefix_b,released_raw,ap-fresh-cube-021,False,150,30,4500,1350000,26112351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",57.5532,LeWM (5-action replanning),25,5
cube,150,150,22,clean,released_raw,ap-fresh-cube-022,False,150,30,4500,1350000,26113351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",60.4865,LeWM (5-action replanning),25,5
cube,150,150,22,prefix_a,released_raw,ap-fresh-cube-022,False,150,30,4500,1350000,26113351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",59.2459,LeWM (5-action replanning),25,5
cube,150,150,22,prefix_b,released_raw,ap-fresh-cube-022,True,9,2,300,90000,26113351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",3.8107,LeWM (5-action replanning),25,5
cube,150,150,23,clean,released_raw,ap-fresh-cube-023,False,150,30,4500,1350000,26114351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",56.6632,LeWM (5-action replanning),25,5
cube,150,150,23,prefix_a,released_raw,ap-fresh-cube-023,False,150,30,4500,1350000,26114351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",56.0235,LeWM (5-action replanning),25,5
cube,150,150,23,prefix_b,released_raw,ap-fresh-cube-023,False,150,30,4500,1350000,26114351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.4026,LeWM (5-action replanning),25,5
cube,150,150,24,clean,released_raw,ap-fresh-cube-024,False,150,30,4500,1350000,26115351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",55.2321,LeWM (5-action replanning),25,5
cube,150,150,24,prefix_a,released_raw,ap-fresh-cube-024,False,150,30,4500,1350000,26115351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.5687,LeWM (5-action replanning),25,5
cube,150,150,24,prefix_b,released_raw,ap-fresh-cube-024,False,150,30,4500,1350000,26115351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.54,LeWM (5-action replanning),25,5
