task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds
cube,25,25,19,clean,released_raw,ap-fresh-cube-019,False,25,1,150,45000,26110351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.0966
cube,25,25,19,prefix_a,released_raw,ap-fresh-cube-019,False,25,1,150,45000,26110351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.0077
cube,25,25,19,prefix_b,released_raw,ap-fresh-cube-019,False,25,1,150,45000,26110351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.0221
cube,25,25,20,clean,released_raw,ap-fresh-cube-020,True,0,0,0,0,26111351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0073
cube,25,25,20,prefix_a,released_raw,ap-fresh-cube-020,True,0,0,0,0,26111351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0067
cube,25,25,20,prefix_b,released_raw,ap-fresh-cube-020,True,0,0,0,0,26111351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0067
cube,25,25,21,clean,released_raw,ap-fresh-cube-021,False,25,1,150,45000,26112351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.1312
cube,25,25,21,prefix_a,released_raw,ap-fresh-cube-021,False,25,1,150,45000,26112351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.9211
cube,25,25,21,prefix_b,released_raw,ap-fresh-cube-021,False,25,1,150,45000,26112351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.5727
cube,25,25,22,clean,released_raw,ap-fresh-cube-022,False,25,1,150,45000,26113351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.6805
cube,25,25,22,prefix_a,released_raw,ap-fresh-cube-022,True,25,1,150,45000,26113351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.6214
cube,25,25,22,prefix_b,released_raw,ap-fresh-cube-022,True,16,1,150,45000,26113351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.0736
cube,25,25,23,clean,released_raw,ap-fresh-cube-023,True,0,0,0,0,26114351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0059
cube,25,25,23,prefix_a,released_raw,ap-fresh-cube-023,True,0,0,0,0,26114351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0062
cube,25,25,23,prefix_b,released_raw,ap-fresh-cube-023,True,0,0,0,0,26114351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.006
cube,25,25,24,clean,released_raw,ap-fresh-cube-024,False,25,1,150,45000,26115351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.0482
cube,25,25,24,prefix_a,released_raw,ap-fresh-cube-024,False,25,1,150,45000,26115351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.1429
cube,25,25,24,prefix_b,released_raw,ap-fresh-cube-024,False,25,1,150,45000,26115351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.4786
cube,25,25,25,clean,released_raw,ap-fresh-cube-025,True,23,1,150,45000,26116351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.7255
cube,25,25,25,prefix_a,released_raw,ap-fresh-cube-025,False,25,1,150,45000,26116351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8219
cube,25,25,25,prefix_b,released_raw,ap-fresh-cube-025,True,17,1,150,45000,26116351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.4387
cube,25,25,26,clean,released_raw,ap-fresh-cube-026,False,25,1,150,45000,26117351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.8314
cube,25,25,26,prefix_a,released_raw,ap-fresh-cube-026,False,25,1,150,45000,26117351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.4057
cube,25,25,26,prefix_b,released_raw,ap-fresh-cube-026,False,25,1,150,45000,26117351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.5166
cube,25,25,27,clean,released_raw,ap-fresh-cube-027,False,25,1,150,45000,26118351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.5619
cube,25,25,27,prefix_a,released_raw,ap-fresh-cube-027,False,25,1,150,45000,26118351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.5366
cube,25,25,27,prefix_b,released_raw,ap-fresh-cube-027,False,25,1,150,45000,26118351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8586
cube,25,25,28,clean,released_raw,ap-fresh-cube-028,False,25,1,150,45000,26119351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.4223
cube,25,25,28,prefix_a,released_raw,ap-fresh-cube-028,False,25,1,150,45000,26119351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.7972
cube,25,25,28,prefix_b,released_raw,ap-fresh-cube-028,False,25,1,150,45000,26119351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.186
