task,query_ordinal,condition,predictor_error,displacement_error,predictor_regret,displacement_regret,direct_regret
cube,49,clean,1.0787155628204346,3.6713016033172607,0.0,0.0,0.0
cube,49,prefix_a,0.9751530885696411,3.5179972648620605,0.0,0.0,0.0
cube,49,prefix_b,2.364321231842041,4.049805164337158,0.0,0.0,0.0
cube,50,clean,4.420629501342773,14.437192916870117,0.0,0.0,0.0
cube,50,prefix_a,2.1538217067718506,4.599867343902588,0.0,0.0,0.0
cube,50,prefix_b,42.24048614501953,23.7025146484375,0.0,6.588691711425781,6.588691711425781
cube,51,clean,1.859108567237854,120.08816528320312,0.0,0.0,0.0
cube,51,prefix_a,2.815171241760254,146.90342712402344,16.141021728515625,0.0,0.0
cube,51,prefix_b,398.697998046875,400.492431640625,3.584686279296875,0.0,2.453826904296875
cube,52,clean,4.668954849243164,14.942558288574219,0.0,0.08002471923828125,0.0
cube,52,prefix_a,4.325638771057129,26.811992645263672,0.0,14.093429565429688,0.0
cube,52,prefix_b,3.713339328765869,14.602540016174316,0.20041656494140625,0.0,2.6366310119628906
cube,53,clean,0.7648494243621826,1.772254467010498,0.0,5.9862060546875,0.0
cube,53,prefix_a,1.1162914037704468,4.490851402282715,2.380645751953125,2.7572784423828125,2.380645751953125
cube,53,prefix_b,4.826676845550537,18.552284240722656,0.0,17.381622314453125,0.0
cube,54,clean,1.3714184761047363,12.596199035644531,0.0,9.560722351074219,0.0
cube,54,prefix_a,4.404547691345215,30.13498306274414,0.004142343997955322,30.741029500961304,0.004142343997955322
cube,54,prefix_b,73.10960388183594,67.97781372070312,66.3800048828125,66.3800048828125,66.3800048828125
cube,55,clean,1.8863343000411987,10.488981246948242,0.0,0.0,0.0
cube,55,prefix_a,5.618426322937012,16.47250747680664,15.465156555175781,0.0,5.251197814941406
cube,55,prefix_b,57.67593002319336,45.57902145385742,28.156768798828125,20.0570068359375,19.12371826171875
cube,56,clean,0.3927616477012634,1.8824841976165771,1.4944915771484375,4.7963714599609375,1.4944915771484375
cube,56,prefix_a,0.48086729645729065,3.3588099479675293,2.0121994018554688,1.01409912109375,2.0121994018554688
cube,56,prefix_b,0.7990485429763794,2.9620184898376465,0.0696868896484375,2.836944580078125,3.066986083984375
cube,57,clean,0.3340882360935211,1.4557571411132812,0.0,0.0,3.586244583129883
