task,controller,query_ordinal,condition,success,primitive_steps,prediction_blocks
cube,AP-CEM,82,prefix_a,0,150,270060
cube,AP-CEM,82,prefix_b,0,150,270060
cube,AP-CEM,83,clean,1,33,63014
cube,AP-CEM,83,prefix_a,1,36,72016
cube,AP-CEM,83,prefix_b,1,36,72016
cube,AP-CEM,84,clean,0,150,270060
cube,AP-CEM,84,prefix_a,0,150,270060
cube,AP-CEM,84,prefix_b,0,150,270060
cube,AP-CEM,85,clean,0,150,270060
cube,AP-CEM,85,prefix_a,0,150,270060
cube,AP-CEM,85,prefix_b,0,150,270060
cube,AP-CEM,86,clean,1,28,54012
cube,AP-CEM,86,prefix_a,0,150,270060
cube,AP-CEM,86,prefix_b,1,40,72016
cube,AP-CEM,87,clean,0,150,270060
cube,AP-CEM,87,prefix_a,0,150,270060
cube,AP-CEM,87,prefix_b,0,150,270060
cube,AP-CEM,88,clean,0,150,270060
cube,AP-CEM,88,prefix_a,0,150,270060
cube,AP-CEM,88,prefix_b,0,150,270060
cube,AP-CEM,89,clean,1,16,36008
cube,AP-CEM,89,prefix_a,0,150,270060
cube,AP-CEM,89,prefix_b,1,15,27006
cube,AP-CEM,90,clean,0,150,270060
cube,AP-CEM,90,prefix_a,0,150,270060
cube,AP-CEM,90,prefix_b,0,150,270060
cube,AP-CEM,91,clean,1,43,81018
cube,AP-CEM,91,prefix_a,1,30,54012
cube,AP-CEM,91,prefix_b,1,29,54012
cube,AP-CEM,92,clean,1,24,45010
cube,AP-CEM,92,prefix_a,1,23,45010
cube,AP-CEM,92,prefix_b,0,150,270060
cube,AP-CEM,93,clean,0,150,270060
cube,AP-CEM,93,prefix_a,0,150,270060
cube,AP-CEM,93,prefix_b,0,150,270060
cube,AP-CEM,94,clean,1,41,81018
cube,AP-CEM,94,prefix_a,0,150,270060
cube,AP-CEM,94,prefix_b,1,38,72016
cube,AP-CEM,95,clean,0,150,270060
cube,AP-CEM,95,prefix_a,0,150,270060
cube,AP-CEM,95,prefix_b,0,150,270060
cube,AP-CEM,96,clean,0,150,270060
cube,AP-CEM,96,prefix_a,0,150,270060
cube,AP-CEM,96,prefix_b,0,150,270060
cube,AP-CEM,97,clean,1,24,45010
cube,AP-CEM,97,prefix_a,1,45,81018
cube,AP-CEM,97,prefix_b,0,150,270060
cube,AP-CEM,98,clean,0,150,270060
cube,AP-CEM,98,prefix_a,1,22,45010
cube,AP-CEM,98,prefix_b,0,150,270060
cube,AP-CEM,99,clean,1,31,63014
cube,AP-CEM,99,prefix_a,0,150,270060
cube,AP-CEM,99,prefix_b,0,150,270060
cube,AP-CEM,100,clean,1,24,45010
cube,AP-CEM,100,prefix_a,1,27,54012
cube,AP-CEM,100,prefix_b,1,22,45010
cube,AP-CEM,101,clean,1,43,81018
cube,AP-CEM,101,prefix_a,1,33,63014
cube,AP-CEM,101,prefix_b,0,150,270060
cube,AP-CEM,102,clean,1,38,72016
cube,AP-CEM,102,prefix_a,0,150,270060
cube,AP-CEM,102,prefix_b,1,32,63014
cube,AP-CEM,103,clean,0,150,270060
cube,AP-CEM,103,prefix_a,0,150,270060
cube,AP-CEM,103,prefix_b,0,150,270060
cube,AP-CEM,104,clean,1,16,36008
cube,AP-CEM,104,prefix_a,0,150,270060
cube,AP-CEM,104,prefix_b,0,150,270060
cube,AP-CEM,105,clean,0,150,270060
cube,AP-CEM,105,prefix_a,0,150,270060
cube,AP-CEM,105,prefix_b,0,150,270060
cube,AP-CEM,106,clean,1,26,54012
cube,AP-CEM,106,prefix_a,1,25,45010
cube,AP-CEM,106,prefix_b,1,24,45010
cube,AP-CEM,107,clean,1,20,36008
cube,AP-CEM,107,prefix_a,0,150,270060
cube,AP-CEM,107,prefix_b,1,20,36008
cube,AP-CEM,108,clean,1,34,63014
