task,arm,kind,start,config_H,config_arm,stall_W5_numerator,stall_W5_denominator,stall_W5_percent,stall_W10_numerator,stall_W10_denominator,stall_W10_percent,stall_W20_numerator,stall_W20_denominator,stall_W20_percent,physical_detour_0.25_numerator,physical_detour_0.25_denominator,physical_detour_0.25_percent,physical_detour_0.5_numerator,physical_detour_0.5_denominator,physical_detour_0.5_percent,physical_detour_1.0_numerator,physical_detour_1.0_denominator,physical_detour_1.0_percent,latent_detour_numerator,latent_detour_denominator,latent_detour_percent,config_B,config_iterations,config_memory_fraction,config_target_L,config_key,config_span,config_execution
cube,cem_final,horizon,Standard,100,cem_final,117,117,100,117,117,100,53,117,45.2991452991453,1,10,10,1,10,10,1,10,10,0,10,0,100,30,,,,,
cube,cem_final,horizon,Perturbed,100,cem_final,232,233,99.57081545064378,230,233,98.71244635193133,114,233,48.927038626609445,1,21,4.761904761904762,1,21,4.761904761904762,0,21,0,1,21,4.761904761904762,100,30,,,,,
cube,cem_final,horizon,Perturbed 1,100,cem_final,116,116,100,115,116,99.13793103448276,60,116,51.724137931034484,1,11,9.090909090909092,1,11,9.090909090909092,0,11,0,1,11,9.090909090909092,100,30,,,,,
cube,cem_final,horizon,Perturbed 2,100,cem_final,116,117,99.14529914529915,115,117,98.2905982905983,54,117,46.15384615384615,0,10,0,0,10,0,0,10,0,0,10,0,100,30,,,,,
cube,cem_learned,horizon,Standard,100,cem_learned,52,57,91.2280701754386,44,57,77.19298245614036,12,57,21.05263157894737,28,70,40,26,70,37.142857142857146,19,70,27.142857142857142,17,70,24.285714285714285,100,30,,,,,
cube,cem_learned,horizon,Perturbed,100,cem_learned,145,167,86.82634730538922,121,167,72.45508982035928,54,167,32.33532934131737,45,87,51.724137931034484,37,87,42.52873563218391,27,87,31.03448275862069,20,87,22.988505747126435,100,30,,,,,
cube,cem_learned,horizon,Perturbed 1,100,cem_learned,72,82,87.8048780487805,58,82,70.73170731707317,25,82,30.48780487804878,22,45,48.888888888888886,19,45,42.22222222222222,15,45,33.333333333333336,9,45,20,100,30,,,,,
cube,cem_learned,horizon,Perturbed 2,100,cem_learned,73,85,85.88235294117646,63,85,74.11764705882354,29,85,34.11764705882353,23,42,54.76190476190476,18,42,42.857142857142854,12,42,28.571428571428573,11,42,26.19047619047619,100,30,,,,,
cube,cem_observed,horizon,Standard,100,cem_observed,80,87,91.95402298850574,75,87,86.20689655172414,32,87,36.7816091954023,22,40,55,17,40,42.5,13,40,32.5,12,40,30,100,30,,,,,
cube,cem_observed,horizon,Perturbed,100,cem_observed,179,191,93.717277486911,159,191,83.24607329842932,67,191,35.07853403141361,36,63,57.142857142857146,27,63,42.857142857142854,19,63,30.158730158730158,17,63,26.984126984126984,100,30,,,,,
cube,cem_observed,horizon,Perturbed 1,100,cem_observed,93,99,93.93939393939394,86,99,86.86868686868686,38,99,38.38383838383838,14,28,50,12,28,42.857142857142854,8,28,28.571428571428573,7,28,25,100,30,,,,,
cube,cem_observed,horizon,Perturbed 2,100,cem_observed,86,92,93.47826086956522,73,92,79.34782608695652,29,92,31.52173913043478,22,35,62.857142857142854,15,35,42.857142857142854,11,35,31.428571428571427,10,35,28.571428571428573,100,30,,,,,
cube,rank_final,horizon,Standard,100,rank_final,51,52,98.07692307692308,46,52,88.46153846153847,23,52,44.23076923076923,32,75,42.666666666666664,27,75,36,20,75,26.666666666666668,8,75,10.666666666666666,100,30,,,,,
cube,rank_final,horizon,Perturbed,100,rank_final,163,167,97.60479041916167,152,167,91.01796407185628,87,167,52.09580838323353,40,87,45.97701149425287,34,87,39.08045977011494,17,87,19.54022988505747,15,87,17.24137931034483,100,30,,,,,
cube,rank_final,horizon,Perturbed 1,100,rank_final,85,87,97.70114942528735,80,87,91.95402298850574,47,87,54.02298850574713,18,40,45,17,40,42.5,7,40,17.5,6,40,15,100,30,,,,,
