kind,task,start,complete,completed,expected,success_percent,mean_pred_blocks,mean_steps,config_B,config_H,config_arm,config_iterations,config_default,config_memory_fraction,config_target_L,config_key,config_span
horizon,reacher,Perturbed 2,true,128,128,95.3125,121,73.65625,200,100,rank_final,30,,,,,
horizon,tworoom,Standard,true,128,128,89.0625,154.8125,95.078125,200,100,rank_final,30,,,,,
horizon,tworoom,Perturbed,true,256,256,88.671875,159.375,97.734375,200,100,rank_final,30,,,,,
horizon,tworoom,Perturbed 1,true,128,128,85.15625,164.125,100.796875,200,100,rank_final,30,,,,,
horizon,tworoom,Perturbed 2,true,128,128,92.1875,154.625,94.671875,200,100,rank_final,30,,,,,
horizon,pusht,Standard,true,128,128,64.0625,222.1875,137.625,200,100,rank_learned,30,,,,,
horizon,pusht,Perturbed,true,256,256,38.671875,262.09375,163.0546875,200,100,rank_learned,30,,,,,
horizon,pusht,Perturbed 1,true,128,128,38.28125,263,163.6171875,200,100,rank_learned,30,,,,,
horizon,pusht,Perturbed 2,true,128,128,39.0625,261.1875,162.4921875,200,100,rank_learned,30,,,,,
horizon,reacher,Standard,true,128,128,97.65625,159.5625,97.46875,200,100,rank_learned,30,,,,,
horizon,reacher,Perturbed,true,256,256,96.875,163.40625,100.22265625,200,100,rank_learned,30,,,,,
horizon,reacher,Perturbed 1,true,128,128,97.65625,162.125,99.3203125,200,100,rank_learned,30,,,,,
horizon,reacher,Perturbed 2,true,128,128,96.09375,164.6875,101.125,200,100,rank_learned,30,,,,,
horizon,tworoom,Standard,true,128,128,96.875,144.875,88.4765625,200,100,rank_learned,30,,,,,
horizon,tworoom,Perturbed,true,256,256,98.4375,141.6875,86.484375,200,100,rank_learned,30,,,,,
horizon,tworoom,Perturbed 1,true,128,128,98.4375,142.625,87.015625,200,100,rank_learned,30,,,,,
horizon,tworoom,Perturbed 2,true,128,128,98.4375,140.75,85.953125,200,100,rank_learned,30,,,,,
horizon,pusht,Standard,true,128,128,71.09375,205.9375,127.5703125,200,100,rank_observed,30,,,,,
horizon,pusht,Perturbed,true,256,256,46.875,247.15625,153.6875,200,100,rank_observed,30,,,,,
horizon,pusht,Perturbed 1,true,128,128,45.3125,251.75,156.4609375,200,100,rank_observed,30,,,,,
horizon,pusht,Perturbed 2,true,128,128,48.4375,242.5625,150.9140625,200,100,rank_observed,30,,,,,
horizon,reacher,Standard,true,128,128,97.65625,160.6875,98.5703125,200,100,rank_observed,30,,,,,
horizon,reacher,Perturbed,true,256,256,96.09375,165.125,101.3515625,200,100,rank_observed,30,,,,,
horizon,reacher,Perturbed 1,true,128,128,94.53125,170.875,104.8828125,200,100,rank_observed,30,,,,,
horizon,reacher,Perturbed 2,true,128,128,97.65625,159.375,97.8203125,200,100,rank_observed,30,,,,,
horizon,tworoom,Standard,true,128,128,98.4375,138.125,84.171875,200,100,rank_observed,30,,,,,
horizon,tworoom,Perturbed,true,256,256,100,135.53125,82.5703125,200,100,rank_observed,30,,,,,
horizon,tworoom,Perturbed 1,true,128,128,100,136.125,83.0234375,200,100,rank_observed,30,,,,,
horizon,tworoom,Perturbed 2,true,128,128,100,134.9375,82.1171875,200,100,rank_observed,30,,,,,
horizon,cube,Standard,true,128,128,28.90625,34038.8125,18.703125,25,25,cem_final,30,,,,,
horizon,cube,Perturbed,true,256,256,26.171875,34777.2578125,19.19140625,25,25,cem_final,30,,,,,
horizon,cube,Perturbed 1,true,128,128,25.78125,34882.75,19.2578125,25,25,cem_final,30,,,,,
horizon,cube,Perturbed 2,true,128,128,26.5625,34671.765625,19.125,25,25,cem_final,30,,,,,
horizon,cube,Standard,true,128,128,75,34601.4375,18.34375,25,25,cem_learned,30,,,,,
horizon,cube,Perturbed,true,256,256,53.90625,34531.109375,18.6484375,25,25,cem_learned,30,,,,,
horizon,cube,Perturbed 1,true,128,128,52.34375,34742.09375,18.78125,25,25,cem_learned,30,,,,,
horizon,cube,Perturbed 2,true,128,128,55.46875,34320.125,18.515625,25,25,cem_learned,30,,,,,
horizon,cube,Standard,true,128,128,63.28125,34812.421875,18.625,25,25,cem_observed,30,,,,,
horizon,cube,Perturbed,true,256,256,49.609375,35410.2109375,19.203125,25,25,cem_observed,30,,,,,
horizon,cube,Perturbed 1,true,128,128,47.65625,35726.6875,19.375,25,25,cem_observed,30,,,,,
horizon,cube,Perturbed 2,true,128,128,51.5625,35093.734375,19.03125,25,25,cem_observed,30,,,,,
horizon,cube,Standard,true,128,128,32.03125,36210.9375,19.4140625,25,25,lewm,30,,,,,
horizon,cube,Perturbed,true,256,256,33.59375,36210.9375,19.55078125,25,25,lewm,30,,,,,
horizon,cube,Perturbed 1,true,128,128,34.375,36210.9375,19.5859375,25,25,lewm,30,,,,,
horizon,cube,Perturbed 2,true,128,128,32.8125,36210.9375,19.515625,25,25,lewm,30,,,,,
horizon,cube,Standard,true,128,128,92.1875,28.0625,16.1484375,25,25,rank_final,30,,,,,
horizon,cube,Perturbed,true,256,256,60.9375,29.71875,17.90625,25,25,rank_final,30,,,,,
horizon,cube,Perturbed 1,true,128,128,59.375,30.0625,18.1171875,25,25,rank_final,30,,,,,
horizon,cube,Perturbed 2,true,128,128,62.5,29.375,17.6953125,25,25,rank_final,30,,,,,
horizon,cube,Standard,true,128,128,88.28125,30.3125,17.9453125,25,25,rank_learned,30,,,,,
horizon,cube,Perturbed,true,256,256,57.8125,31,18.69140625,25,25,rank_learned,30,,,,,
horizon,cube,Perturbed 1,true,128,128,56.25,31.3125,18.8671875,25,25,rank_learned,30,,,,,
horizon,cube,Perturbed 2,true,128,128,59.375,30.6875,18.515625,25,25,rank_learned,30,,,,,
horizon,cube,Standard,true,128,128,92.1875,30.3125,17.9453125,25,25,rank_observed,30,,,,,
horizon,cube,Perturbed,true,256,256,58.984375,31,18.76953125,25,25,rank_observed,30,,,,,
horizon,cube,Perturbed 1,true,128,128,57.8125,31.25,18.9296875,25,25,rank_observed,30,,,,,
horizon,cube,Perturbed 2,true,128,128,60.15625,30.75,18.609375,25,25,rank_observed,30,,,,,
horizon,pusht,Standard,true,128,128,2.34375,493562.78125,274.1171875,280,140,cem_final,30,,,,,
