task,arm,start,complete,completed_outcomes,expected_outcomes,success_percent,mean_pred_blocks,baseline_configuration
tworoom,CEM (learned target),Perturbed,true,256,256,55.078125,247941.8046875,
tworoom,CEM (learned target),Perturbed 1,true,128,128,53.90625,249805.5,
tworoom,CEM (learned target),Perturbed 2,true,128,128,56.25,246078.109375,
tworoom,Rank (learned target),Standard,true,128,128,96.875,144.875,
tworoom,Rank (learned target),Perturbed,true,256,256,98.4375,141.6875,
tworoom,Rank (learned target),Perturbed 1,true,128,128,98.4375,142.625,
tworoom,Rank (learned target),Perturbed 2,true,128,128,98.4375,140.75,
tworoom,LeWM planner,Standard,true,128,128,17.1875,320976.5625,"released_raw; plan 25, execute 25"
tworoom,LeWM planner,Perturbed,true,256,256,16.796875,321503.90625,"released_raw; plan 25, execute 25"
tworoom,LeWM planner,Perturbed 1,true,128,128,14.0625,328359.375,"released_raw; plan 25, execute 25"
tworoom,LeWM planner,Perturbed 2,true,128,128,19.53125,314648.4375,"released_raw; plan 25, execute 25"
